SR Change,Elim,Death,Match Time,Dmg
-19.00,24.00,13.00,15,10615.00
25.00,16.00,5.00,10,6959.00
29.00,22.00,8.00,11,5601.00
25.00,16.00,5.00,5,2658.00
35.00,31.00,4.00,9,6324.00
32.00,28.00,5.00,12,5871.00
-21.00,26.00,11.00,17,9429.00
31.00,30.00,5.00,10,5678.00
28.00,28.00,9.00,12,6096.00
27.00,26.00,7.00,12,6200.00
-20.00,4.00,3.00,5,3836.00
27.00,21.00,9.00,12,5463.00
24.00,26.00,13.00,14,7647.00
27.00,28.00,2.00,8,4361.00
29.00,37.00,7.00,12,7258.00
27.00,29.00,10.00,12,5387.00
21.00,20.00,10.00,13,5269.00
24.00,23.00,11.00,14,4563.00
24.00,35.00,10.00,17,10120.00
22.00,8.00,8.00,11,1047.00
-18.00,60.00,14.00,20,13474.00
26.00,17.00,3.00,6,2997.00
-23.00,16.00,10.00,14,8579.00
-25.00,4.00,5.00,4,1873.00
-23.00,12.00,9.00,10,4439.00
29.00,24.00,4.00,9,4483.00
24.00,36.00,9.00,15,11472.00
-23.00,18.00,16.00,14,5703.00
24.00,18.00,13.00,15,4738.00
25.00,14.00,7.00,10,3056.00
21.00,28.00,9.00,14,6816.00
-19.00,28.00,9.00,16,5369.00
-25.00,14.00,16.00,14,5696.00
29.00,31.00,5.00,11,6140.00
-29.00,1.00,9.00,8,1408.00
-26.00,10.00,14.00,12,5795.00
21.00,14.00,4.00,7,3614.00
22.00,34.00,14.00,19,10261.00
22.00,32.00,15.00,18,9602.00
28.00,34.00,9.00,14,8507.00
-25.00,20.00,21.00,23,8686.00
26.00,26.00,6.00,13,5839.00
-17.00,43.00,10.00,14,9964.00
-28.00,16.00,11.00,13,5717.00
-21.00,26.00,12.00,15,8564.00
22.00,32.00,4.00,12,6867.00
-22.00,15.00,10.00,9,5642.00
-20.00,11.00,7.00,7,4415.00
-21.00,10.00,8.00,9,6370.00
32.00,20.00,1.00,5,4374.00
24.00,29.00,8.00,11,7553.00
-24.00,14.00,13.00,13,6634.00
26.00,31.00,4.00,11,4440.00
26.00,39.00,8.00,15,10568.00
21.00,36.00,12.00,16,11929.00
-25.00,14.00,10.00,10,4223.00
17.00,23.00,12.00,14,7479.00
23.00,18.00,10.00,12,4099.00
21.00,17.00,6.00,13,5081.00
-25.00,8.00,8.00,13,6265.00
-22.00,9.00,11.00,10,3035.00
-22.00,26.00,12.00,14,7325.00
25.00,22.00,14.00,17,5770.00
-21.00,12.00,8.00,9,7334.00
-28.00,7.00,6.00,6,2904.00
-24.00,10.00,9.00,11,3857.00
