victim_level,attacker_level
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,49
50,49
50,50
50,50
50,50
47,50
50,50
50,50
50,50
50,50
50,50
36,35
50,50
50,50
50,50
50,50
50,50
48,54
45,53
49,55
45,48
49,47
48,45
47,50
55,48
52,47
48,54
53,49
46,50
51,53
46,49
46,46
46,49
46,51
47,52
46,55
55,54
53,54
47,53
50,49
45,53
53,53
54,50
45,55
55,49
54,52
52,49
50,46
54,53
46,55
45,49
46,45
52,52
49,48
50,47
52,46
51,54
53,46
48,30
50,54
46,49
55,53
55,48
48,50
45,47
55,53
54,53
55,37
48,55
48,47
48,47
50,48
47,46
54,50
50,47
52,50
49,55
54,55
54,50
53,49
46,55
55,45
55,40
50,46
47,55
51,54
95,156
47,45
52,48
51,46
54,48
53,52
55,49
55,50
50,52
52,54
47,53
54,52
48,55
47,55
51,52
49,54
50,51
50,46
47,54
51,46
53,51
50,47
45,47
45,51
53,47
55,55
48,54
49,49
48,55
47,55
51,46
48,52
52,45
45,32
45,50
53,53
51,48
52,51
48,51
55,49
51,54
47,46
48,52
46,49
55,51
55,55
46,53
54,44
45,50
47,45
50,54
50,49
54,53
51,52
45,46
45,46
45,49
49,50
91,131
47,47
51,53
50,55
54,53
55,49
55,53
48,45
52,48
47,46
47,37
55,50
47,46
50,50
47,54
52,49
45,55
52,46
47,49
52,52
52,55
52,46
48,49
52,49
48,54
52,52
46,47
53,52
49,52
53,49
50,46
55,52
49,50
55,49
53,53
45,54
48,54
50,55
46,52
54,50
51,49
53,45
50,48
53,49
52,50
53,51
47,51
48,46
50,47
51,51
49,45
51,48
55,55
48,54
49,50
52,48
47,54
54,46
49,49
46,54
54,49
45,49
50,53
45,45
34,46
49,52
52,50
37,48
55,52
53,47
47,46
45,54
53,49
55,50
49,47
54,52
54,55
52,51
54,55
53,52
48,54
53,45
50,49
47,53
48,47
55,50
50,53
45,47
53,53
53,48
49,53
46,30
53,54
50,45
54,52
47,47
52,48
48,46
49,51
10,181
54,52
81,118
51,54
50,50
46,48
46,52
45,49
47,47
51,46
52,53
51,50
47,49
48,49
49,48
53,48
53,50
33,50
52,49
54,52
52,51
46,54
55,53
50,50
50,52
53,48
46,48
52,50
51,46
52,51
53,54
50,52
41,51
53,48
55,48
52,46
52,51
48,49
49,52
53,54
54,50
46,55
47,50
50,51
49,45
48,48
43,52
55,45
45,45
48,53
54,45
46,47
53,47
46,46
50,46
53,50
55,45
48,53
48,46
51,52
48,46
53,50
53,39
53,46
54,54
51,54
45,51
54,48
34,48
47,51
35,48
53,48
53,46
54,53
53,52
46,54
49,48
52,55
45,55
48,54
48,47
47,47
49,45
50,48
47,53
48,49
50,55
48,47
53,46
52,49
51,52
47,52
48,49
52,54
55,48
52,54
55,55
48,54
51,51
55,52
55,50
49,50
49,47
46,50
55,44
52,50
47,34
45,45
51,51
53,54
55,54
69,175
47,31
46,46
47,51
49,52
50,54
46,51
55,52
53,52
46,52
53,52
47,45
53,46
47,48
46,51
50,52
45,46
50,49
33,51
47,52
50,49
48,46
53,52
49,55
47,51
51,48
55,52
46,48
50,49
48,45
53,50
48,54
54,45
53,50
51,47
33,46
46,45
46,49
52,55
47,45
55,45
45,52
52,53
54,48
53,47
47,46
48,55
55,47
47,45
46,55
48,49
45,55
47,53
45,50
52,51
54,48
50,49
67,111
40,53
51,53
54,48
52,39
51,53
45,54
40,54
49,51
47,49
49,49
47,45
49,48
52,51
47,44
50,54
49,45
45,51
50,49
46,55
46,54
53,50
47,48
46,47
55,53
54,50
52,55
51,47
48,53
52,52
45,55
55,53
51,51
52,52
45,47
51,47
49,54
46,50
50,46
54,47
46,51
49,50
52,50
46,54
55,52
50,51
51,55
54,54
49,53
54,46
55,46
53,52
48,50
54,52
54,54
53,49
46,40
55,48
50,47
50,47
47,46
55,51
51,45
53,53
52,48
50,48
49,51
49,45
55,50
53,47
48,54
51,52
50,48
53,46
46,48
54,53
54,50
50,48
47,40
45,54
49,50
53,51
55,47
51,51
50,49
53,50
40,51
47,46
52,50
52,37
55,51
47,53
51,50
52,46
46,50
48,51
50,48
49,48
54,49
51,33
49,50
49,39
51,55
48,47
54,53
50,45
50,55
54,54
50,53
46,55
54,45
51,50
50,50
50,53
54,53
51,47
53,54
53,55
52,48
50,54
52,49
48,55
47,48
45,54
55,54
47,46
50,50
50,53
47,45
50,48
46,54
52,48
49,47
47,48
53,52
46,49
50,53
55,55
54,55
54,53
45,46
49,50
49,51
54,45
50,46
49,45
5,197
55,52
49,55
48,46
51,50
31,46
53,45
51,47
55,50
46,46
50,45
48,48
48,51
55,51
37,50
53,46
45,46
45,54
52,46
52,53
51,51
46,48
45,47
51,47
52,48
45,54
54,52
45,54
51,51
52,50
51,49
45,47
46,47
52,48
49,49
52,52
53,52
55,52
49,46
49,52
45,49
52,51
55,50
48,54
49,54
51,48
51,54
45,49
47,45
48,48
55,50
37,54
53,54
46,55
49,48
45,48
49,51
46,47
45,46
49,49
46,45
46,52
54,54
45,54
54,49
54,55
45,52
54,48
55,46
33,53
46,51
52,53
52,51
51,52
47,51
52,45
49,46
45,54
45,50
53,51
50,51
48,51
52,50
48,51
55,49
47,45
49,48
46,45
55,55
46,32
45,49
54,54
46,51
49,52
47,53
45,47
48,45
48,47
53,47
54,51
46,53
54,52
54,51
53,51
48,49
46,51
46,53
55,54
45,48
54,46
54,45
49,47
53,55
47,47
54,53
48,52
47,51
50,51
53,51
50,53
54,51
48,53
52,51
45,55
45,45
47,50
51,51
47,45
45,46
54,50
50,46
47,48
46,53
54,48
49,53
52,55
45,55
53,54
50,54
47,47
51,53
51,55
55,38
34,47
55,52
53,52
46,53
51,51
50,54
49,55
55,55
53,45
53,54
37,55
45,46
54,55
54,45
45,52
48,53
49,51
53,47
55,45
51,45
50,53
55,55
54,50
47,55
49,55
55,52
45,51
46,50
50,49
46,55
48,46
46,47
50,50
55,48
53,49
45,52
45,53
45,55
53,55
53,45
51,50
55,50
45,54
54,52
46,51
48,49
45,47
54,51
45,46
48,54
48,49
47,45
51,45
47,49
49,48
49,51
51,51
45,48
47,50
51,50
49,53
39,53
48,45
51,52
46,48
46,54
51,53
50,51
46,45
50,49
49,53
49,52
72,109
35,45
53,50
45,45
46,49
51,47
45,48
50,55
55,45
53,47
53,50
45,53
51,45
39,50
55,45
52,45
50,54
55,45
55,53
48,52
