KB,D,HK,DD,HD
1,3,14,48155,6641
1,3,12,27025,7106
0,1,19,824,93879
1,2,25,7046,98599
2,3,23,65483,19629
4,5,12,31759,6071
0,4,18,12933,94587
9,5,24,123000,34687
2,1,9,13900,2438
0,1,25,12566,36734
3,1,10,22327,2394
0,5,15,29664,4364
1,1,17,8529,193000
3,4,18,125000,17460
8,2,24,101000,21853
5,3,25,124000,27687
0,0,17,6796,2738
7,3,16,89349,14996
1,3,15,43666,17475
4,1,17,59125,13679
0,3,17,1632,45269
1,2,19,15387,11309
2,4,11,20530,1189
3,1,21,29076,6734
6,2,19,43667,6286
3,3,16,20454,3284
0,0,0,8162,780
6,2,10,25818,11215
0,4,19,3445,43063
5,1,20,29930,5117
2,2,17,40511,5841
0,1,12,8949,15695
0,0,17,882,9598
2,1,18,21731,5777
1,0,15,8126,537
3,2,15,41179,15379
1,3,17,27526,2238
1,2,19,22769,8918
0,2,20,14602,6576
2,1,28,26266,11364
0,0,22,3350,11153
5,0,30,49500,14576
0,2,26,23312,12816
1,4,8,36211,11686
8,0,32,89565,4557
1,4,11,28304,9181
0,6,8,4663,75063
7,2,29,70816,7654
3,3,10,55534,11397
3,1,30,45806,4899
0,2,5,36350,12216
0,1,26,20105,157000
0,2,7,2978,2468
5,1,20,24629,6500
2,4,22,28534,6625
1,2,9,19531,2151
1,3,11,76381,18538
5,6,11,34667,5249
0,1,11,17990,3102
0,0,6,19587,0
0,2,11,29693,7320
0,0,9,16048,4390
2,1,13,14954,437
2,2,11,34637,14788
0,2,11,2329,27087
0,0,11,4040,9774
0,1,13,8231,1217
2,4,9,39208,9909
2,0,12,7322,4468
0,0,14,1672,38396
3,1,10,22400,48896
0,0,13,1407,65726
1,3,8,27640,1895
4,3,12,64745,8430
1,3,14,34593,5221
1,2,12,16745,2911
1,1,12,37040,5407
6,0,13,19212,3305
1,0,59,6063,146000
8,2,54,75901,47521
10,2,54,78845,10194
12,2,49,60895,15742
3,7,12,75773,20505
1,0,15,12761,0
5,6,14,88087,12498
1,10,9,104000,20599
0,5,13,10888,74533
0,11,11,63549,9418
2,9,6,38201,6893
1,0,56,11054,121000
6,5,14,87887,14766
1,3,15,5682,92506
0,5,10,31868,6608
2,2,46,29559,8989
11,1,57,71710,21055
4,4,54,88291,5246
4,3,46,60531,23938
9,3,48,123000,49540
9,1,54,68673,5739
7,1,46,87551,12790
10,1,54,85402,18659
0,3,39,13931,119000
0,8,6,31645,15603
1,4,10,34909,12436
7,1,51,56001,9835
11,0,54,93717,11342
4,1,45,30419,22437
0,2,0,3698,3062
2,5,11,30150,120000
1,9,7,44809,18137
0,0,44,4905,89605
0,7,5,14511,54760
0,4,10,55325,9529
1,7,6,35374,2135
4,2,39,59674,14379
6,5,12,50020,17422
6,3,43,70482,7562
0,2,6,3303,52540
0,4,12,14952,6364
0,3,18,3565,5069
1,2,18,9863,76747
5,4,24,62078,21283
1,1,26,7517,68328
3,5,13,47698,4576
6,1,26,55058,9665
2,0,12,12427,10330
2,3,16,51887,10090
0,0,13,3095,46782
0,1,6,26121,0
4,1,23,30117,1747
4,0,16,79295,17671
1,4,25,26991,6369
3,3,26,66074,16938
2,2,15,35002,2655
7,4,17,76383,30058
2,2,26,69414,32434
0,2,14,5967,33584
1,2,11,36661,24957
4,2,14,51033,5913
0,6,4,41339,2763
0,0,10,5543,44516
3,0,18,46056,10488
0,3,12,29346,5065
3,2,11,110000,19493
1,5,17,44465,20298
2,2,20,14838,81762
0,0,12,13460,79489
7,2,20,74679,11349
0,1,17,5272,69559
1,1,11,39616,11059
4,2,12,63412,4181
1,3,8,47194,16757
0,1,12,21719,24253
1,1,13,30487,50333
1,3,4,16274,36748
7,0,18,49866,45850
1,1,15,44877,46855
7,0,26,50293,3258
0,0,15,22464,3277
0,1,4,6069,47212
4,1,25,18305,5869
0,5,2,19958,10411
2,0,26,30930,2752
3,1,23,44733,9903
1,0,26,9903,46222
0,0,2,11558,2538
4,0,25,33904,1517
2,3,4,31903,8838
0,3,2,10869,164
0,0,24,2586,13680
0,3,17,31081,8095
1,1,21,19440,165
2,2,4,23606,15150
2,4,3,24925,5477
0,4,4,520,27241
4,3,29,104000,17438
4,1,26,36320,9261
2,5,25,12103,68259
0,2,23,13909,9234
7,4,28,73185,22188
6,3,27,68056,27223
1,4,23,10614,119000
6,5,30,93721,12013
1,3,30,49899,10739
1,0,18,12952,7036
5,3,23,55932,17877
5,3,26,70027,5397
0,3,26,272,79726
4,4,23,83092,9739
0,1,10,8670,161
1,0,10,12331,9887
0,2,10,0,34461
6,1,27,72057,15091
2,3,29,44982,23095
0,2,28,3011,60718
0,9,7,12690,3914
1,6,9,24268,4855
0,0,45,4719,39014
9,1,46,65209,24585
0,5,9,32829,5580
4,2,45,19330,2813
2,5,12,29343,3125
0,2,7,2637,27010
0,8,10,4867,53987
4,1,41,36457,17876
1,5,11,25866,9945
1,9,8,29725,24875
9,2,44,40436,14150
3,4,12,23596,5084
0,1,25,839,20727
9,2,48,42353,39026
2,0,39,26556,4351
15,3,48,82954,4568
2,0,44,1385,30214
5,3,10,40427,11455
6,7,10,31303,3313
0,5,12,4802,15801
1,5,10,11574,8768
5,2,40,25577,3771
10,2,46,30203,11833
6,2,37,28421,6228
7,1,48,32630,7234
8,1,47,37857,8706
1,2,46,3663,55865
1,6,8,11267,2047
0,3,12,16628,5412
2,1,42,27636,8714
6,1,44,15198,1431
3,8,13,14011,12435
2,6,12,44476,7369
6,3,39,16179,6773
0,1,50,6225,5529
1,4,12,15404,2489
1,3,10,11126,7020
0,2,2,3434,308
2,3,34,18854,8143
1,5,7,32645,15990
0,1,11,2396,5822
7,1,29,41082,3627
4,1,36,50216,6136
7,1,36,27115,2705
4,5,11,51078,8346
0,0,36,7887,87513
1,3,11,27926,5377
0,3,9,3609,10401
3,3,34,52228,6371
1,0,22,15311,12046
0,7,10,55846,17201
7,0,36,38715,78382
2,2,11,35735,15773
1,3,23,17630,1657
4,2,32,2004,16159
1,2,7,11591,5171
2,4,10,24451,1763
3,5,11,34120,9819
1,3,40,3053,44130
9,5,33,49080,2493
7,5,26,33087,5365
6,2,47,16415,3386
0,4,25,7472,48106
0,4,45,778,34434
4,3,45,32057,1696
4,7,32,31141,1842
3,4,38,37113,5305
2,4,21,29112,7219
1,4,33,14806,54073
6,5,44,24422,7954
2,4,14,7757,6224
12,3,50,31056,6336
13,5,51,43470,16041
1,7,25,18769,1247
6,7,28,35975,9485
2,5,29,38337,9363
7,3,51,23094,5677
3,7,23,20776,9371
0,7,1,17372,3038
3,1,32,9029,397
6,0,33,24448,4582
9,0,35,19884,3425
0,0,26,2599,1641
0,0,27,1954,15099
3,0,36,11996,1038
1,2,1,10741,1466
0,3,1,955,8527
0,3,1,9862,211
6,0,36,18433,2831
0,0,35,911,26698
0,4,1,3043,2887
0,5,1,7294,3281
4,0,36,14970,3268
0,2,0,0,10195
0,4,0,16450,7277
6,0,34,23189,6444
0,5,1,6858,2459
10,4,58,40092,14538
12,6,53,31347,14346
9,2,62,70441,494
2,4,22,17089,15538
4,1,61,35490,3726
1,7,25,29034,1174
5,4,25,19992,3683
3,11,21,24742,11005
0,10,25,4955,43833
2,5,57,31076,4839
2,2,54,18823,5387
0,6,27,2618,57836
13,3,57,37267,11643
3,3,56,17418,16583
2,5,25,31043,16953
13,3,62,48575,19527
8,9,23,42133,9465
2,4,24,25663,13130
7,9,23,32757,12189
1,3,61,6332,54914
3,2,23,30895,7157
8,6,38,85175,23305
9,6,40,46851,8477
2,5,46,38946,11987
15,4,49,123000,35145
7,8,41,132000,25295
0,6,40,10874,150000
3,5,22,53580,38579
4,4,37,41529,9268
3,5,31,19953,17449
2,6,41,42427,26412
3,5,27,52437,35221
8,5,47,47375,13113
7,4,35,50943,27311
0,6,47,1244,81587
5,3,43,89434,8523
7,3,47,63903,12224
5,8,39,59106,23215
6,6,42,78565,42581
11,11,48,109000,9050
0,2,17,1404,111000
2,4,17,23373,5920
3,4,17,72205,35392
0,6,1,13751,1416
3,1,25,46804,16934
4,1,16,39910,3120
5,1,27,62571,17566
1,3,19,7340,48071
3,3,19,46793,11099
0,3,24,14956,70297
0,8,19,3896,70444
4,0,30,38997,9283
1,6,11,20832,8656
4,2,27,79679,31249
2,2,21,34753,11306
13,2,24,99446,16581
1,3,18,16276,79725
6,2,24,57857,17782
0,3,16,16256,3467
0,1,7,9475,1849
1,4,11,12144,4054
0,7,9,12337,6720
3,6,13,36969,3986
0,6,8,14450,3295
1,2,45,5337,55768
0,5,7,270,28254
1,0,4,8489,309
5,1,48,16152,8432
4,2,52,31053,12454
0,2,46,1484,39236
3,1,49,31740,3400
11,0,54,35220,887
6,1,24,13117,1164
2,5,9,17113,1766
3,6,9,31140,8288
4,8,10,49434,18988
12,1,56,54907,3873
7,2,51,33027,17150
6,2,51,38638,2456
0,9,10,6983,41303
0,6,4,9076,8398
5,0,22,25425,6302
4,1,29,30894,2304
0,0,37,5414,70045
6,1,24,25013,16005
0,6,6,8472,1798
1,1,34,10538,24935
0,5,8,1556,44968
0,3,5,17832,2562
0,0,3,7081,442
2,1,12,11182,1967
3,1,24,16420,8102
3,4,4,38595,6677
1,1,5,6260,870
0,1,24,3903,21364
9,0,33,49713,5274
0,5,3,5137,29520
1,5,4,12083,91
3,3,7,28483,5374
11,2,38,38895,6568
0,2,19,5362,1982
9,0,37,68070,7779
7,1,37,33215,7643
8,0,39,72723,22079
0,4,0,35874,5516
0,3,2,8092,4200
3,2,5,16626,3718
0,9,0,3159,31023
0,3,1,10158,15965
1,0,9,9851,1973
1,1,5,38656,17995
1,3,3,14831,13896
0,4,1,14915,10955
2,1,22,21614,5073
0,0,39,7135,90943
0,2,1,5971,0
3,1,20,21950,6446
0,0,8,3575,3463
0,5,1,27489,19149
11,0,38,75321,22441
0,0,20,1838,52542
2,0,9,19349,315
6,1,18,93288,7983
0,4,1,13500,42184
2,0,22,28188,4095
0,0,22,3021,62329
6,0,22,47380,7762
2,1,3,47257,26763
0,1,3,25257,25648
0,5,0,11521,10533
0,0,14,3011,14531
3,1,20,32965,2700
0,2,1,13386,2302
0,2,1,10012,19590
0,1,3,4461,105
0,1,3,6852,1536
0,2,2,51929,9739
1,3,3,33120,3651
3,1,18,24069,11209
0,0,20,743,64975
9,0,47,61047,8097
0,8,0,52850,5448
3,0,37,51960,2985
0,0,48,89098,12649
0,0,32,2971,39918
0,6,0,44644,6760
9,0,46,71646,16102
0,1,0,0,32218
2,0,30,33017,5245
0,4,0,1110,24319
0,9,0,71967,24561
1,0,17,10280,915
0,2,0,14892,14134
4,0,48,61508,4299
0,0,0,872,445
11,0,47,54087,15989
0,0,47,10568,127000
0,5,0,4206,37555
0,1,0,1818,0
0,2,0,5683,5309
3,4,21,41100,23172
0,5,12,1118,99044
4,4,16,33017,6854
4,1,26,22624,7012
8,3,30,38779,17181
5,3,22,41010,7769
3,2,19,24494,7590
1,5,10,5254,50267
1,3,27,30826,9849
3,4,21,22158,12842
0,7,13,36633,6862
2,4,9,38542,4321
13,1,34,86224,25128
1,5,10,54158,9919
