id,victim_id,victim_guild_id,victim_level,attacker_id,attacker_guild_id,attacker_level,zone_id,killed_at,killmail_raw_id
"1,1,"""",46,2,"""",50,1,""2018-08-01 17:41:19+02"",1"
"2,3,"""",45,2,"""",50,1,""2018-08-01 17:40:08+02"",2"
"3,4,1,50,5,2,50,2,""2018-08-01 17:25:15+02"",3"
"4,3,"""",45,6,"""",50,1,""2018-08-01 17:24:57+02"",4"
"5,3,"""",45,6,"""",50,1,""2018-08-01 17:20:24+02"",5"
"6,1,"""",46,2,"""",50,1,""2018-08-01 17:09:56+02"",6"
"7,7,"""",31,8,3,31,3,""2018-08-01 16:32:39+02"",7"
"8,9,"""",50,10,1,50,1,""2018-08-01 16:27:21+02"",8"
"9,11,"""","""",10,1,50,1,""2018-08-01 16:23:19+02"",9"
"10,10,1,50,12,3,50,3,""2018-08-01 15:05:25+02"",10"
"11,13,2,50,14,4,50,4,""2018-08-01 14:57:50+02"",11"
"12,15,2,50,16,4,50,4,""2018-08-01 14:46:57+02"",12"
"13,11,"""","""",10,1,50,1,""2018-08-01 14:21:55+02"",13"
"14,17,1,50,18,2,50,5,""2018-08-01 14:07:17+02"",14"
"15,19,5,46,20,"""",50,1,""2018-08-01 13:42:12+02"",15"
"16,10,1,50,12,3,50,3,""2018-08-01 12:02:11+02"",16"
"17,21,2,50,22,"""",50,6,""2018-08-01 11:30:48+02"",17"
"18,21,2,50,22,"""",50,6,""2018-08-01 11:29:33+02"",18"
"19,23,"""",41,24,"""",50,1,""2018-08-01 11:25:54+02"",19"
"20,25,6,50,10,1,50,3,""2018-08-01 10:36:38+02"",20"
"21,26,2,50,25,6,50,3,""2018-08-01 09:51:53+02"",21"
"22,21,2,50,27,"""",50,6,""2018-08-01 08:49:36+02"",22"
"23,28,"""",48,29,7,50,7,""2018-08-01 08:15:26+02"",23"
"24,30,2,50,31,7,50,7,""2018-08-01 08:15:11+02"",24"
"25,32,2,50,25,6,50,3,""2018-08-01 07:51:03+02"",25"
"26,21,2,50,33,1,50,6,""2018-08-01 07:46:40+02"",26"
"27,21,2,50,9,"""",50,1,""2018-08-01 07:44:09+02"",27"
"28,33,1,50,34,8,50,8,""2018-08-01 07:42:04+02"",28"
"29,35,2,50,36,1,50,9,""2018-08-01 07:35:34+02"",29"
"30,37,"""",50,38,3,50,10,""2018-08-01 07:30:02+02"",30"
"31,35,2,50,36,1,50,9,""2018-08-01 07:29:15+02"",31"
"32,35,2,50,36,1,50,9,""2018-08-01 07:19:34+02"",32"
"33,35,2,50,36,1,50,9,""2018-08-01 07:12:06+02"",33"
"34,26,2,50,25,6,50,3,""2018-08-01 07:08:45+02"",34"
"35,35,2,50,36,1,50,9,""2018-08-01 07:05:10+02"",35"
"36,35,2,50,36,1,50,9,""2018-08-01 07:03:50+02"",36"
"37,35,2,50,36,1,50,9,""2018-08-01 07:03:17+02"",37"
"38,35,2,50,36,1,50,9,""2018-08-01 07:01:06+02"",38"
"39,17,1,50,39,2,50,9,""2018-08-01 06:53:16+02"",39"
"40,40,"""",46,41,"""",50,1,""2018-08-01 06:44:31+02"",40"
"41,31,7,50,42,2,49,11,""2018-08-01 06:30:04+02"",41"
"42,29,7,50,42,2,49,11,""2018-08-01 06:28:31+02"",42"
"43,43,"""",1,2,"""",50,1,""2018-08-01 06:17:56+02"",43"
"44,39,2,50,24,"""",50,1,""2018-08-01 06:15:24+02"",44"
"45,26,2,50,44,9,50,3,""2018-08-01 05:33:13+02"",45"
"46,45,"""",50,39,2,50,12,""2018-08-01 05:31:30+02"",46"
"47,46,2,50,47,8,50,13,""2018-08-01 05:28:45+02"",47"
"48,32,2,50,48,8,50,3,""2018-08-01 05:20:05+02"",48"
"49,49,2,47,47,8,50,3,""2018-08-01 05:18:01+02"",49"
"50,50,"""",46,47,8,50,3,""2018-08-01 05:17:02+02"",50"
"51,32,2,50,51,10,50,13,""2018-08-01 05:16:32+02"",51"
"52,32,2,50,48,8,50,3,""2018-08-01 05:15:23+02"",52"
"53,26,2,50,34,8,50,3,""2018-08-01 05:12:48+02"",53"
"54,32,2,50,34,8,50,3,""2018-08-01 05:12:24+02"",54"
"55,52,"""",50,53,1,50,14,""2018-08-01 05:06:08+02"",55"
"56,32,2,50,9,"""",50,6,""2018-08-01 05:03:34+02"",56"
"57,5,2,50,47,8,50,15,""2018-08-01 04:52:54+02"",57"
"58,54,11,36,55,2,35,11,""2018-08-01 04:43:52+02"",58"
"59,56,2,50,53,1,50,16,""2018-08-01 04:30:45+02"",59"
"60,56,2,50,53,1,50,16,""2018-08-01 04:29:42+02"",60"
"61,57,1,50,39,2,50,2,""2018-08-01 04:19:28+02"",61"
"62,58,"""",40,2,"""",50,1,""2018-08-01 04:13:04+02"",62"
"63,59,"""",50,4,1,50,2,""2018-08-01 04:06:41+02"",63"
"64,60,2,50,61,"""",49,9,""2018-08-01 03:57:37+02"",64"
"65,62,2,49,63,"""",49,17,""2018-08-01 03:55:01+02"",65"
"66,64,2,50,63,"""",49,17,""2018-08-01 03:53:52+02"",66"
"67,65,1,"""",4,1,"""",18,""2018-08-01 03:45:00+02"",67"
"68,66,"""","""",67,8,"""",6,""2018-08-01 03:38:37+02"",68"
"69,20,"""","""",67,8,"""",6,""2018-08-01 03:37:20+02"",69"
"70,20,"""","""",67,8,"""",6,""2018-08-01 03:37:00+02"",70"
"71,9,"""","""",51,10,"""",6,""2018-08-01 03:36:57+02"",71"
"72,66,"""","""",68,10,"""",1,""2018-08-01 03:36:31+02"",72"
"73,11,"""","""",51,10,"""",1,""2018-08-01 03:35:40+02"",73"
"74,22,"""","""",26,2,"""",19,""2018-08-01 03:22:38+02"",74"
"75,66,"""","""",69,8,"""",1,""2018-08-01 03:20:45+02"",75"
"76,9,"""","""",69,8,"""",1,""2018-08-01 03:13:14+02"",76"
"77,19,5,"""",69,8,"""",15,""2018-08-01 03:04:03+02"",77"
"78,26,2,"""",70,"""","""",6,""2018-08-01 02:36:37+02"",78"
"79,71,5,"""",72,"""","""",15,""2018-08-01 01:26:18+02"",79"
"80,73,2,"""",63,"""","""",20,""2018-08-01 01:20:19+02"",80"
"81,26,2,"""",74,"""","""",21,""2018-08-01 00:53:38+02"",81"
"82,75,3,"""",76,2,"""",22,""2018-08-01 00:47:22+02"",82"
"83,18,2,"""",75,3,"""",12,""2018-08-01 00:46:06+02"",83"
"84,77,"""","""",78,"""","""",23,""2018-08-01 00:41:52+02"",84"
"85,79,2,"""",63,"""","""",22,""2018-08-01 00:38:35+02"",85"
"86,79,2,"""",74,"""","""",22,""2018-08-01 00:37:59+02"",86"
"87,80,"""","""",39,2,"""",1,""2018-07-31 23:53:01+02"",87"
"88,81,1,"""",79,2,"""",9,""2018-07-31 23:53:00+02"",88"
"89,82,1,"""",79,2,"""",9,""2018-07-31 23:52:21+02"",89"
"90,83,10,"""",84,2,"""",1,""2018-07-31 23:44:11+02"",90"
"91,25,6,"""",85,2,"""",6,""2018-07-31 23:43:52+02"",91"
"92,25,6,"""",86,2,"""",15,""2018-07-31 23:41:15+02"",92"
"93,32,2,"""",69,8,"""",15,""2018-07-31 23:41:08+02"",93"
"94,25,6,"""",85,2,"""",15,""2018-07-31 23:36:53+02"",94"
"95,26,2,"""",87,1,"""",15,""2018-07-31 23:36:23+02"",95"
"96,32,2,"""",88,1,"""",15,""2018-07-31 23:34:34+02"",96"
"97,89,"""","""",75,3,"""",24,""2018-07-31 23:30:44+02"",97"
"98,32,2,"""",83,10,"""",6,""2018-07-31 23:27:58+02"",98"
"99,79,2,"""",81,1,"""",9,""2018-07-31 23:26:38+02"",99"
"100,82,1,"""",79,2,"""",9,""2018-07-31 23:24:44+02"",100"
"101,90,"""","""",69,8,"""",25,""2018-07-31 23:12:42+02"",101"
"102,91,2,"""",92,1,"""",19,""2018-07-31 22:50:04+02"",102"
"103,93,2,"""",92,1,"""",5,""2018-07-31 22:46:21+02"",103"
"104,56,2,"""",94,"""","""",16,""2018-07-31 22:43:19+02"",104"
"105,95,3,"""",61,"""","""",9,""2018-07-31 22:30:39+02"",105"
"106,96,"""","""",97,"""","""",26,""2018-07-31 22:11:28+02"",106"
"107,68,10,"""",98,1,"""",11,""2018-07-31 21:48:37+02"",107"
"108,99,"""","""",100,"""","""",5,""2018-07-31 21:40:47+02"",108"
"109,37,"""","""",39,2,"""",6,""2018-07-31 21:20:10+02"",109"
"110,41,"""","""",79,2,"""",1,""2018-07-31 21:11:10+02"",110"
"111,26,2,"""",101,"""","""",17,""2018-07-31 20:42:39+02"",111"
"112,79,2,"""",61,"""","""",9,""2018-07-31 20:10:59+02"",112"
"113,87,1,"""",64,2,"""",16,""2018-07-31 20:09:27+02"",113"
"114,60,2,"""",102,8,"""",24,""2018-07-31 19:41:56+02"",114"
"115,103,2,"""",104,1,"""",27,""2018-07-31 19:19:59+02"",115"
"116,105,"""","""",95,3,"""",15,""2018-07-31 19:19:58+02"",116"
"117,106,"""","""",104,1,"""",9,""2018-07-31 19:10:26+02"",117"
"118,107,7,"""",6,"""","""",1,""2018-07-31 19:07:35+02"",118"
"119,108,7,"""",109,"""","""",1,""2018-07-31 19:07:17+02"",119"
"120,105,"""","""",61,"""","""",9,""2018-07-31 18:45:26+02"",120"
"121,110,1,"""",39,2,"""",11,""2018-07-31 18:29:39+02"",121"
"122,56,2,"""",44,9,"""",16,""2018-07-31 18:25:54+02"",122"
"123,111,"""","""",112,8,"""",24,""2018-07-31 18:10:51+02"",123"
"124,111,"""","""",103,2,"""",25,""2018-07-31 18:03:58+02"",124"
"125,111,"""","""",112,8,"""",24,""2018-07-31 18:01:42+02"",125"
"126,1,"""","""",6,"""","""",1,""2018-07-31 18:00:43+02"",126"
"127,113,"""","""",75,3,"""",13,""2018-07-31 17:42:33+02"",127"
"128,80,"""","""",95,3,"""",13,""2018-07-31 17:41:01+02"",128"
"129,114,"""","""",115,"""","""",2,""2018-07-31 17:05:37+02"",129"
"130,14,4,"""",19,5,"""",1,""2018-07-31 15:41:53+02"",130"
"131,111,"""","""",60,2,"""",24,""2018-07-31 13:52:43+02"",131"
"132,116,"""","""",60,2,"""",24,""2018-07-31 13:52:33+02"",132"
"133,117,"""","""",118,2,"""",28,""2018-07-31 13:47:24+02"",133"
"134,119,"""","""",120,8,"""",29,""2018-07-31 09:34:46+02"",134"
"135,121,"""","""",75,3,"""",13,""2018-07-31 07:02:45+02"",135"
